following_url,events_url,organizations_url,url,contributions,gists_url,html_url,subscriptions_url,avatar_url,repos_url,received_events_url,gravatar_id,starred_url,site_admin,login,type,id,followers_url
https://api.github.com/users/denyeart/following{/other_user},https://api.github.com/users/denyeart/events{/privacy},https://api.github.com/users/denyeart/orgs,https://api.github.com/users/denyeart,43,https://api.github.com/users/denyeart/gists{/gist_id},https://github.com/denyeart,https://api.github.com/users/denyeart/subscriptions,https://avatars3.githubusercontent.com/u/20165681?v=3,https://api.github.com/users/denyeart/repos,https://api.github.com/users/denyeart/received_events,,https://api.github.com/users/denyeart/starred{/owner}{/repo},False,denyeart,User,20165681,https://api.github.com/users/denyeart/followers
https://api.github.com/users/hacera/following{/other_user},https://api.github.com/users/hacera/events{/privacy},https://api.github.com/users/hacera/orgs,https://api.github.com/users/hacera,28,https://api.github.com/users/hacera/gists{/gist_id},https://github.com/hacera,https://api.github.com/users/hacera/subscriptions,https://avatars0.githubusercontent.com/u/23613619?v=3,https://api.github.com/users/hacera/repos,https://api.github.com/users/hacera/received_events,,https://api.github.com/users/hacera/starred{/owner}{/repo},False,hacera,User,23613619,https://api.github.com/users/hacera/followers
https://api.github.com/users/wlahti/following{/other_user},https://api.github.com/users/wlahti/events{/privacy},https://api.github.com/users/wlahti/orgs,https://api.github.com/users/wlahti,27,https://api.github.com/users/wlahti/gists{/gist_id},https://github.com/wlahti,https://api.github.com/users/wlahti/subscriptions,https://avatars3.githubusercontent.com/u/20172653?v=3,https://api.github.com/users/wlahti/repos,https://api.github.com/users/wlahti/received_events,,https://api.github.com/users/wlahti/starred{/owner}{/repo},False,wlahti,User,20172653,https://api.github.com/users/wlahti/followers
https://api.github.com/users/GrapeBaBa/following{/other_user},https://api.github.com/users/GrapeBaBa/events{/privacy},https://api.github.com/users/GrapeBaBa/orgs,https://api.github.com/users/GrapeBaBa,27,https://api.github.com/users/GrapeBaBa/gists{/gist_id},https://github.com/GrapeBaBa,https://api.github.com/users/GrapeBaBa/subscriptions,https://avatars1.githubusercontent.com/u/3657859?v=3,https://api.github.com/users/GrapeBaBa/repos,https://api.github.com/users/GrapeBaBa/received_events,,https://api.github.com/users/GrapeBaBa/starred{/owner}{/repo},False,GrapeBaBa,User,3657859,https://api.github.com/users/GrapeBaBa/followers
https://api.github.com/users/manish-sethi/following{/other_user},https://api.github.com/users/manish-sethi/events{/privacy},https://api.github.com/users/manish-sethi/orgs,https://api.github.com/users/manish-sethi,26,https://api.github.com/users/manish-sethi/gists{/gist_id},https://github.com/manish-sethi,https://api.github.com/users/manish-sethi/subscriptions,https://avatars3.githubusercontent.com/u/14808090?v=3,https://api.github.com/users/manish-sethi/repos,https://api.github.com/users/manish-sethi/received_events,,https://api.github.com/users/manish-sethi/starred{/owner}{/repo},False,manish-sethi,User,14808090,https://api.github.com/users/manish-sethi/followers
https://api.github.com/users/jiangyaoguo/following{/other_user},https://api.github.com/users/jiangyaoguo/events{/privacy},https://api.github.com/users/jiangyaoguo/orgs,https://api.github.com/users/jiangyaoguo,24,https://api.github.com/users/jiangyaoguo/gists{/gist_id},https://github.com/jiangyaoguo,https://api.github.com/users/jiangyaoguo/subscriptions,https://avatars1.githubusercontent.com/u/6777418?v=3,https://api.github.com/users/jiangyaoguo/repos,https://api.github.com/users/jiangyaoguo/received_events,,https://api.github.com/users/jiangyaoguo/starred{/owner}{/repo},False,jiangyaoguo,User,6777418,https://api.github.com/users/jiangyaoguo/followers
https://api.github.com/users/nickgaski/following{/other_user},https://api.github.com/users/nickgaski/events{/privacy},https://api.github.com/users/nickgaski/orgs,https://api.github.com/users/nickgaski,22,https://api.github.com/users/nickgaski/gists{/gist_id},https://github.com/nickgaski,https://api.github.com/users/nickgaski/subscriptions,https://avatars3.githubusercontent.com/u/16326255?v=3,https://api.github.com/users/nickgaski/repos,https://api.github.com/users/nickgaski/received_events,,https://api.github.com/users/nickgaski/starred{/owner}{/repo},False,nickgaski,User,16326255,https://api.github.com/users/nickgaski/followers
https://api.github.com/users/corecode/following{/other_user},https://api.github.com/users/corecode/events{/privacy},https://api.github.com/users/corecode/orgs,https://api.github.com/users/corecode,21,https://api.github.com/users/corecode/gists{/gist_id},https://github.com/corecode,https://api.github.com/users/corecode/subscriptions,https://avatars0.githubusercontent.com/u/177979?v=3,https://api.github.com/users/corecode/repos,https://api.github.com/users/corecode/received_events,,https://api.github.com/users/corecode/starred{/owner}{/repo},False,corecode,User,177979,https://api.github.com/users/corecode/followers
https://api.github.com/users/juliancarrivick-ibm/following{/other_user},https://api.github.com/users/juliancarrivick-ibm/events{/privacy},https://api.github.com/users/juliancarrivick-ibm/orgs,https://api.github.com/users/juliancarrivick-ibm,20,https://api.github.com/users/juliancarrivick-ibm/gists{/gist_id},https://github.com/juliancarrivick-ibm,https://api.github.com/users/juliancarrivick-ibm/subscriptions,https://avatars1.githubusercontent.com/u/20233917?v=3,https://api.github.com/users/juliancarrivick-ibm/repos,https://api.github.com/users/juliancarrivick-ibm/received_events,,https://api.github.com/users/juliancarrivick-ibm/starred{/owner}{/repo},False,juliancarrivick-ibm,User,20233917,https://api.github.com/users/juliancarrivick-ibm/followers
https://api.github.com/users/jeffgarratt/following{/other_user},https://api.github.com/users/jeffgarratt/events{/privacy},https://api.github.com/users/jeffgarratt/orgs,https://api.github.com/users/jeffgarratt,19,https://api.github.com/users/jeffgarratt/gists{/gist_id},https://github.com/jeffgarratt,https://api.github.com/users/jeffgarratt/subscriptions,https://avatars1.githubusercontent.com/u/4991920?v=3,https://api.github.com/users/jeffgarratt/repos,https://api.github.com/users/jeffgarratt/received_events,,https://api.github.com/users/jeffgarratt/starred{/owner}{/repo},False,jeffgarratt,User,4991920,https://api.github.com/users/jeffgarratt/followers
https://api.github.com/users/gennadylaventman/following{/other_user},https://api.github.com/users/gennadylaventman/events{/privacy},https://api.github.com/users/gennadylaventman/orgs,https://api.github.com/users/gennadylaventman,18,https://api.github.com/users/gennadylaventman/gists{/gist_id},https://github.com/gennadylaventman,https://api.github.com/users/gennadylaventman/subscriptions,https://avatars1.githubusercontent.com/u/18242450?v=3,https://api.github.com/users/gennadylaventman/repos,https://api.github.com/users/gennadylaventman/received_events,,https://api.github.com/users/gennadylaventman/starred{/owner}{/repo},False,gennadylaventman,User,18242450,https://api.github.com/users/gennadylaventman/followers
https://api.github.com/users/rameshthoomu/following{/other_user},https://api.github.com/users/rameshthoomu/events{/privacy},https://api.github.com/users/rameshthoomu/orgs,https://api.github.com/users/rameshthoomu,18,https://api.github.com/users/rameshthoomu/gists{/gist_id},https://github.com/rameshthoomu,https://api.github.com/users/rameshthoomu/subscriptions,https://avatars3.githubusercontent.com/u/17034502?v=3,https://api.github.com/users/rameshthoomu/repos,https://api.github.com/users/rameshthoomu/received_events,,https://api.github.com/users/rameshthoomu/starred{/owner}{/repo},False,rameshthoomu,User,17034502,https://api.github.com/users/rameshthoomu/followers
